Province/State,Country/Region,Confirmed,Deaths,Recovered,Measurement_Date
Gansu,Mainland China,2,NA,NA,2020-01-24
Xinjiang,Mainland China,2,NA,NA,2020-01-24
Shanxi,Mainland China,1,NA,NA,2020-01-24
Inner Mongolia,Mainland China,1,NA,NA,2020-01-24
Qinghai,Mainland China,NA,NA,NA,2020-01-24
Washington,US,1,NA,NA,2020-01-24
Chicago,US,1,NA,NA,2020-01-24
NA,Japan,2,NA,NA,2020-01-24
NA,Thailand,5,NA,NA,2020-01-24
NA,South Korea,2,NA,NA,2020-01-24
NA,Singapore,3,NA,NA,2020-01-24
NA,Vietnam,2,NA,NA,2020-01-24
NA,France,2,NA,NA,2020-01-24
Hubei,Mainland China,761,40,32,2020-01-25
Guangdong,Mainland China,78,NA,2,2020-01-25
Zhejiang,Mainland China,62,NA,1,2020-01-25
Chongqing,Mainland China,57,NA,NA,2020-01-25
Hunan,Mainland China,43,NA,NA,2020-01-25
Beijing,Mainland China,41,NA,2,2020-01-25
Anhui,Mainland China,39,NA,NA,2020-01-25
Shanghai,Mainland China,33,NA,1,2020-01-25
Henan,Mainland China,32,NA,NA,2020-01-25
Sichuan,Mainland China,28,NA,NA,2020-01-25
Shandong,Mainland China,27,NA,NA,2020-01-25
Guangxi,Mainland China,23,NA,NA,2020-01-25
Hainan,Mainland China,19,NA,NA,2020-01-25
Jiangxi,Mainland China,18,NA,NA,2020-01-25
Fujian,Mainland China,18,NA,NA,2020-01-25
Jiangsu,Mainland China,18,NA,1,2020-01-25
Liaoning,Mainland China,17,NA,NA,2020-01-25
Shaanxi,Mainland China,15,NA,NA,2020-01-25
Yunnan,Mainland China,11,NA,NA,2020-01-25
Tianjin,Mainland China,10,NA,NA,2020-01-25
Heilongjiang,Mainland China,9,1,NA,2020-01-25
Hebei,Mainland China,8,1,NA,2020-01-25
Inner Mongolia,Mainland China,7,NA,NA,2020-01-25
Shanxi,Mainland China,6,NA,NA,2020-01-25
Hong Kong,Hong Kong,5,NA,NA,2020-01-25
Guizhou,Mainland China,4,NA,NA,2020-01-25
Jilin,Mainland China,4,NA,NA,2020-01-25
Gansu,Mainland China,4,NA,NA,2020-01-25
Ningxia,Mainland China,3,NA,NA,2020-01-25
Taiwan,Taiwan,3,NA,NA,2020-01-25
Xinjiang,Mainland China,3,NA,NA,2020-01-25
Macau,Macau,2,NA,NA,2020-01-25
Qinghai,Mainland China,1,NA,NA,2020-01-25
Washington,US,1,NA,NA,2020-01-25
Illinois,US,1,NA,NA,2020-01-25
NA,Japan,2,NA,NA,2020-01-25
NA,Thailand,7,NA,NA,2020-01-25
NA,South Korea,2,NA,NA,2020-01-25
NA,Singapore,3,NA,NA,2020-01-25
NA,Vietnam,2,NA,NA,2020-01-25
NA,France,3,NA,NA,2020-01-25
NA,Australia,4,NA,NA,2020-01-25
NA,Nepal,1,NA,NA,2020-01-25
NA,Malaysia,3,NA,NA,2020-01-25
Hubei,Mainland China,1058,52,42,2020-01-26
Guangdong,Mainland China,111,NA,2,2020-01-26
Zhejiang,Mainland China,104,NA,1,2020-01-26
Henan,Mainland China,83,1,NA,2020-01-26
Chongqing,Mainland China,75,NA,NA,2020-01-26
Hunan,Mainland China,69,NA,NA,2020-01-26
Beijing,Mainland China,68,NA,2,2020-01-26
Anhui,Mainland China,60,NA,NA,2020-01-26
Shandong,Mainland China,46,NA,NA,2020-01-26
Sichuan,Mainland China,44,NA,NA,2020-01-26
Shanghai,Mainland China,40,1,1,2020-01-26
Guangxi,Mainland China,36,NA,NA,2020-01-26
Jiangxi,Mainland China,36,NA,NA,2020-01-26
Fujian,Mainland China,35,NA,NA,2020-01-26
Jiangsu,Mainland China,33,NA,1,2020-01-26
Hainan,Mainland China,22,NA,NA,2020-01-26
Shaanxi,Mainland China,22,NA,NA,2020-01-26
Liaoning,Mainland China,21,NA,NA,2020-01-26
Yunnan,Mainland China,16,NA,NA,2020-01-26
Heilongjiang,Mainland China,15,1,NA,2020-01-26
Tianjin,Mainland China,14,NA,NA,2020-01-26
Hebei,Mainland China,13,1,NA,2020-01-26
Shanxi,Mainland China,9,NA,NA,2020-01-26
Hong Kong,Hong Kong,8,NA,NA,2020-01-26
Inner Mongolia,Mainland China,7,NA,NA,2020-01-26
Gansu,Mainland China,7,NA,NA,2020-01-26
Guizhou,Mainland China,5,NA,NA,2020-01-26
Macau,Macau,5,NA,NA,2020-01-26
Ningxia,Mainland China,4,NA,NA,2020-01-26
Jilin,Mainland China,4,NA,NA,2020-01-26
Taiwan,Taiwan,4,NA,NA,2020-01-26
Xinjiang,Mainland China,4,NA,NA,2020-01-26
Qinghai,Mainland China,1,NA,NA,2020-01-26
Washington,US,1,NA,NA,2020-01-26
Illinois,US,1,NA,NA,2020-01-26
California,US,2,NA,NA,2020-01-26
Arizona,US,1,NA,NA,2020-01-26
NA,Japan,4,NA,1,2020-01-26
NA,Thailand,8,NA,2,2020-01-26
NA,South Korea,3,NA,NA,2020-01-26
NA,Singapore,4,NA,NA,2020-01-26
NA,Vietnam,2,NA,NA,2020-01-26
NA,France,3,NA,NA,2020-01-26
NA,Australia,4,NA,NA,2020-01-26
NA,Nepal,1,NA,NA,2020-01-26
NA,Malaysia,4,NA,NA,2020-01-26
Ontario,Canada,1,NA,NA,2020-01-26
Hubei,Mainland China,1423,76,45,2020-01-27
Guangdong,Mainland China,151,NA,4,2020-01-27
Zhejiang,Mainland China,128,NA,1,2020-01-27
Henan,Mainland China,128,1,NA,2020-01-27
Chongqing,Mainland China,110,NA,NA,2020-01-27
Hunan,Mainland China,100,NA,NA,2020-01-27
Beijing,Mainland China,80,1,2,2020-01-27
Shandong,Mainland China,75,NA,NA,2020-01-27
Jiangxi,Mainland China,72,NA,2,2020-01-27
Anhui,Mainland China,70,NA,NA,2020-01-27
Sichuan,Mainland China,69,NA,NA,2020-01-27
Fujian,Mainland China,59,NA,NA,2020-01-27
Shanghai,Mainland China,53,1,3,2020-01-27
Jiangsu,Mainland China,47,NA,1,2020-01-27
Guangxi,Mainland China,46,NA,NA,2020-01-27
Shaanxi,Mainland China,35,NA,NA,2020-01-27
Hainan,Mainland China,33,1,NA,2020-01-27
Liaoning,Mainland China,27,NA,NA,2020-01-27
Yunnan,Mainland China,26,NA,NA,2020-01-27
Tianjin,Mainland China,23,NA,NA,2020-01-27
Heilongjiang,Mainland China,21,1,NA,2020-01-27
Hebei,Mainland China,18,1,NA,2020-01-27
Gansu,Mainland China,14,NA,NA,2020-01-27
Shanxi,Mainland China,13,NA,NA,2020-01-27
Inner Mongolia,Mainland China,11,NA,NA,2020-01-27
Hong Kong,Hong Kong,8,NA,NA,2020-01-27
Guizhou,Mainland China,7,NA,NA,2020-01-27
Ningxia,Mainland China,7,NA,NA,2020-01-27
Jilin,Mainland China,6,NA,NA,2020-01-27
Macau,Macau,6,NA,NA,2020-01-27
Qinghai,Mainland China,6,NA,NA,2020-01-27
Taiwan,Taiwan,5,NA,NA,2020-01-27
Xinjiang,Mainland China,5,NA,NA,2020-01-27
Washington,US,1,NA,NA,2020-01-27
Illinois,US,1,NA,NA,2020-01-27
California,US,2,NA,NA,2020-01-27
Arizona,US,1,NA,NA,2020-01-27
NA,Japan,4,NA,1,2020-01-27
NA,Thailand,8,NA,2,2020-01-27
NA,South Korea,4,NA,NA,2020-01-27
NA,Singapore,5,NA,NA,2020-01-27
NA,Vietnam,2,NA,NA,2020-01-27
NA,France,3,NA,NA,2020-01-27
NA,Nepal,1,NA,NA,2020-01-27
NA,Malaysia,4,NA,NA,2020-01-27
Ontario,Canada,1,NA,NA,2020-01-27
NA,Cambodia,1,NA,NA,2020-01-27
NA,Sri Lanka,1,NA,NA,2020-01-27
NA,Ivory Coast,1,NA,NA,2020-01-27
New South Wales,Australia,4,NA,NA,2020-01-27
Victoria,Australia,1,NA,NA,2020-01-27
Hubei,Mainland China,3554,125,80,2020-01-28
Guangdong,Mainland China,207,NA,4,2020-01-28
Zhejiang,Mainland China,173,NA,3,2020-01-28
Henan,Mainland China,168,1,NA,2020-01-28
Hunan,Mainland China,143,NA,NA,2020-01-28
Chongqing,Mainland China,132,NA,NA,2020-01-28
Jiangxi,Mainland China,109,NA,3,2020-01-28
Anhui,Mainland China,106,NA,NA,2020-01-28
Shandong,Mainland China,95,NA,NA,2020-01-28
Beijing,Mainland China,91,1,4,2020-01-28
Sichuan,Mainland China,90,NA,NA,2020-01-28
Fujian,Mainland China,80,NA,NA,2020-01-28
Jiangsu,Mainland China,70,NA,1,2020-01-28
Shanghai,Mainland China,66,1,4,2020-01-28
Guangxi,Mainland China,51,NA,2,2020-01-28
Shaanxi,Mainland China,46,NA,NA,2020-01-28
Yunnan,Mainland China,44,NA,NA,2020-01-28
Hainan,Mainland China,40,1,NA,2020-01-28
Liaoning,Mainland China,34,NA,NA,2020-01-28
Hebei,Mainland China,33,1,NA,2020-01-28
Heilongjiang,Mainland China,33,1,NA,2020-01-28
Shanxi,Mainland China,27,NA,NA,2020-01-28
Tianjin,Mainland China,24,NA,NA,2020-01-28
Gansu,Mainland China,19,NA,NA,2020-01-28
Inner Mongolia,Mainland China,15,NA,NA,2020-01-28
Ningxia,Mainland China,11,NA,NA,2020-01-28
Xinjiang,Mainland China,10,NA,NA,2020-01-28
Guizhou,Mainland China,9,NA,NA,2020-01-28
Jilin,Mainland China,8,NA,NA,2020-01-28
Taiwan,Taiwan,8,NA,NA,2020-01-28
Hong Kong,Hong Kong,8,NA,NA,2020-01-28
Macau,Macau,7,NA,NA,2020-01-28
Qinghai,Mainland China,6,NA,NA,2020-01-28
Washington,US,1,NA,NA,2020-01-28
Illinois,US,1,NA,NA,2020-01-28
California,US,2,NA,NA,2020-01-28
Arizona,US,1,NA,NA,2020-01-28
NA,Japan,7,NA,1,2020-01-28
NA,Thailand,14,NA,5,2020-01-28
NA,South Korea,4,NA,NA,2020-01-28
NA,Singapore,7,NA,NA,2020-01-28
NA,Vietnam,2,NA,NA,2020-01-28
NA,France,4,NA,NA,2020-01-28
NA,Nepal,1,NA,NA,2020-01-28
NA,Malaysia,4,NA,NA,2020-01-28
Ontario,Canada,1,NA,NA,2020-01-28
British Columbia,Canada,1,NA,NA,2020-01-28
NA,Cambodia,1,NA,NA,2020-01-28
NA,Sri Lanka,1,NA,NA,2020-01-28
New South Wales,Australia,4,NA,NA,2020-01-28
Victoria,Australia,1,NA,NA,2020-01-28
Bavaria,Germany,4,NA,NA,2020-01-28
Hubei,Mainland China,3554,125,88,2020-01-29
Zhejiang,Mainland China,296,NA,3,2020-01-29
Guangdong,Mainland China,277,NA,5,2020-01-29
Hunan,Mainland China,221,NA,NA,2020-01-29
Henan,Mainland China,206,2,1,2020-01-29
Anhui,Mainland China,152,NA,2,2020-01-29
Chongqing,Mainland China,147,NA,1,2020-01-29
Shandong,Mainland China,130,NA,1,2020-01-29
Beijing,Mainland China,111,1,4,2020-01-29
Jiangxi,Mainland China,109,NA,3,2020-01-29
Sichuan,Mainland China,108,1,1,2020-01-29
Jiangsu,Mainland China,99,NA,1,2020-01-29
Shanghai,Mainland China,96,1,5,2020-01-29
Fujian,Mainland China,84,NA,NA,2020-01-29
Guangxi,Mainland China,58,NA,2,2020-01-29
Shaanxi,Mainland China,56,NA,NA,2020-01-29
Yunnan,Mainland China,55,NA,NA,2020-01-29
Hebei,Mainland China,48,1,NA,2020-01-29
Hainan,Mainland China,43,1,NA,2020-01-29
Liaoning,Mainland China,39,NA,1,2020-01-29
Heilongjiang,Mainland China,38,1,NA,2020-01-29
Tianjin,Mainland China,27,NA,NA,2020-01-29
Shanxi,Mainland China,27,NA,1,2020-01-29
Gansu,Mainland China,24,NA,NA,2020-01-29
Inner Mongolia,Mainland China,16,NA,NA,2020-01-29
Xinjiang,Mainland China,13,NA,NA,2020-01-29
Ningxia,Mainland China,12,NA,NA,2020-01-29
Hong Kong,Hong Kong,10,NA,NA,2020-01-29
Guizhou,Mainland China,9,NA,1,2020-01-29
Jilin,Mainland China,9,NA,NA,2020-01-29
Taiwan,Taiwan,8,NA,NA,2020-01-29
Macau,Macau,7,NA,NA,2020-01-29
Qinghai,Mainland China,6,NA,NA,2020-01-29
Washington,US,1,NA,NA,2020-01-29
Illinois,US,1,NA,NA,2020-01-29
California,US,2,NA,NA,2020-01-29
Arizona,US,1,NA,NA,2020-01-29
NA,Japan,7,NA,1,2020-01-29
NA,Thailand,14,NA,5,2020-01-29
NA,South Korea,4,NA,NA,2020-01-29
NA,Singapore,7,NA,NA,2020-01-29
NA,Vietnam,2,NA,NA,2020-01-29
NA,France,5,NA,NA,2020-01-29
NA,Nepal,1,NA,NA,2020-01-29
NA,Malaysia,7,NA,NA,2020-01-29
Ontario,Canada,1,NA,NA,2020-01-29
British Columbia,Canada,1,NA,NA,2020-01-29
NA,Cambodia,1,NA,NA,2020-01-29
NA,Sri Lanka,1,NA,NA,2020-01-29
New South Wales,Australia,4,NA,NA,2020-01-29
Victoria,Australia,1,NA,NA,2020-01-29
Bavaria,Germany,4,NA,NA,2020-01-29
NA,Finland,1,NA,NA,2020-01-29
NA,United Arab Emirates,4,NA,NA,2020-01-29
Hubei,Mainland China,4903,162,90,2020-01-30
Zhejiang,Mainland China,428,NA,4,2020-01-30
Guangdong,Mainland China,354,NA,10,2020-01-30
Henan,Mainland China,278,2,2,2020-01-30
Hunan,Mainland China,277,NA,2,2020-01-30
Anhui,Mainland China,200,NA,2,2020-01-30
Chongqing,Mainland China,182,NA,1,2020-01-30
Jiangxi,Mainland China,162,NA,5,2020-01-30
Shandong,Mainland China,158,NA,1,2020-01-30
Sichuan,Mainland China,142,1,1,2020-01-30
Jiangsu,Mainland China,129,NA,1,2020-01-30
Beijing,Mainland China,114,1,4,2020-01-30
Shanghai,Mainland China,112,1,5,2020-01-30
Fujian,Mainland China,101,NA,NA,2020-01-30
Guangxi,Mainland China,78,NA,2,2020-01-30
Yunnan,Mainland China,70,NA,NA,2020-01-30
Hebei,Mainland China,65,1,NA,2020-01-30
Shaanxi,Mainland China,63,NA,NA,2020-01-30
Hainan,Mainland China,46,1,1,2020-01-30
Heilongjiang,Mainland China,44,2,NA,2020-01-30
Liaoning,Mainland China,41,NA,1,2020-01-30
Shanxi,Mainland China,35,NA,1,2020-01-30
Tianjin,Mainland China,31,NA,NA,2020-01-30
Gansu,Mainland China,26,NA,NA,2020-01-30
Inner Mongolia,Mainland China,19,NA,NA,2020-01-30
Ningxia,Mainland China,17,NA,NA,2020-01-30
Jilin,Mainland China,14,NA,1,2020-01-30
Xinjiang,Mainland China,14,NA,NA,2020-01-30
Guizhou,Mainland China,12,NA,1,2020-01-30
Hong Kong,Hong Kong,10,NA,NA,2020-01-30
Taiwan,Taiwan,9,NA,NA,2020-01-30
Qinghai,Mainland China,8,NA,NA,2020-01-30
Macau,Macau,7,NA,NA,2020-01-30
Tibet,Mainland China,1,NA,NA,2020-01-30
Washington,US,1,NA,NA,2020-01-30
Illinois,US,1,NA,NA,2020-01-30
California,US,2,NA,NA,2020-01-30
Arizona,US,1,NA,NA,2020-01-30
NA,Japan,11,NA,1,2020-01-30
NA,Thailand,14,NA,5,2020-01-30
NA,South Korea,4,NA,NA,2020-01-30
NA,Singapore,10,NA,NA,2020-01-30
NA,Vietnam,2,NA,NA,2020-01-30
NA,France,5,NA,NA,2020-01-30
NA,Nepal,1,NA,NA,2020-01-30
NA,Malaysia,8,NA,NA,2020-01-30
Ontario,Canada,2,NA,NA,2020-01-30
British Columbia,Canada,1,NA,NA,2020-01-30
NA,Cambodia,1,NA,NA,2020-01-30
NA,Sri Lanka,1,NA,NA,2020-01-30
New South Wales,Australia,4,NA,2,2020-01-30
Victoria,Australia,2,NA,NA,2020-01-30
Queensland,Australia,3,NA,NA,2020-01-30
Bavaria,Germany,4,NA,NA,2020-01-30
NA,Finland,1,NA,NA,2020-01-30
NA,United Arab Emirates,4,NA,NA,2020-01-30
NA,Philippines,1,NA,NA,2020-01-30
NA,India,1,NA,NA,2020-01-30
Hubei,Mainland China,5806,204,141,2020-01-31
Zhejiang,Mainland China,538,NA,14,2020-01-31
Guangdong,Mainland China,436,NA,11,2020-01-31
Henan,Mainland China,352,2,3,2020-01-31
Hunan,Mainland China,332,NA,2,2020-01-31
Jiangxi,Mainland China,240,NA,7,2020-01-31
Anhui,Mainland China,237,NA,3,2020-01-31
Chongqing,Mainland China,211,NA,1,2020-01-31
Shandong,Mainland China,184,NA,2,2020-01-31
Sichuan,Mainland China,177,1,1,2020-01-31
Jiangsu,Mainland China,168,NA,5,2020-01-31
Beijing,Mainland China,139,1,5,2020-01-31
Shanghai,Mainland China,135,1,9,2020-01-31
Fujian,Mainland China,120,NA,NA,2020-01-31
Guangxi,Mainland China,87,NA,2,2020-01-31
Shaanxi,Mainland China,87,NA,NA,2020-01-31
Yunnan,Mainland China,83,NA,1,2020-01-31
Hebei,Mainland China,82,1,NA,2020-01-31
Heilongjiang,Mainland China,59,2,NA,2020-01-31
Hainan,Mainland China,52,1,1,2020-01-31
Liaoning,Mainland China,48,NA,1,2020-01-31
Shanxi,Mainland China,39,NA,1,2020-01-31
Tianjin,Mainland China,32,NA,NA,2020-01-31
Guizhou,Mainland China,29,NA,2,2020-01-31
Gansu,Mainland China,29,NA,NA,2020-01-31
Ningxia,Mainland China,21,NA,NA,2020-01-31
Inner Mongolia,Mainland China,20,NA,1,2020-01-31
Xinjiang,Mainland China,17,NA,NA,2020-01-31
Jilin,Mainland China,14,NA,1,2020-01-31
Hong Kong,Hong Kong,12,NA,NA,2020-01-31
Taiwan,Taiwan,10,NA,NA,2020-01-31
Qinghai,Mainland China,8,NA,NA,2020-01-31
Macau,Macau,7,NA,NA,2020-01-31
Tibet,Mainland China,1,NA,NA,2020-01-31
NA,Thailand,19,NA,5,2020-01-31
NA,Japan,15,NA,1,2020-01-31
NA,Singapore,13,NA,NA,2020-01-31
NA,South Korea,11,NA,NA,2020-01-31
NA,Malaysia,8,NA,NA,2020-01-31
NA,France,5,NA,NA,2020-01-31
Bavaria,Germany,5,NA,NA,2020-01-31
New South Wales,Australia,4,NA,2,2020-01-31
NA,United Arab Emirates,4,NA,NA,2020-01-31
Victoria,Australia,3,NA,NA,2020-01-31
Illinois,US,2,NA,NA,2020-01-31
California,US,2,NA,NA,2020-01-31
NA,Vietnam,2,NA,NA,2020-01-31
Ontario,Canada,2,NA,NA,2020-01-31
Queensland,Australia,2,NA,NA,2020-01-31
NA,Italy,2,NA,NA,2020-01-31
NA,UK,2,NA,NA,2020-01-31
NA,Russia,2,NA,NA,2020-01-31
Washington,US,1,NA,NA,2020-01-31
Arizona,US,1,NA,NA,2020-01-31
NA,Nepal,1,NA,NA,2020-01-31
British Columbia,Canada,1,NA,NA,2020-01-31
NA,Cambodia,1,NA,NA,2020-01-31
NA,Sri Lanka,1,NA,NA,2020-01-31
NA,Finland,1,NA,NA,2020-01-31
NA,Philippines,1,NA,NA,2020-01-31
NA,India,1,NA,NA,2020-01-31
NA,Sweden,1,NA,NA,2020-01-31
Hubei,Mainland China,7153,249,168,2020-02-01
Zhejiang,Mainland China,599,0,21,2020-02-01
Guangdong,Mainland China,535,0,14,2020-02-01
Henan,Mainland China,422,2,3,2020-02-01
Hunan,Mainland China,389,0,8,2020-02-01
Anhui,Mainland China,297,0,5,2020-02-01
Jiangxi,Mainland China,286,0,9,2020-02-01
Chongqing,Mainland China,247,1,3,2020-02-01
Sichuan,Mainland China,207,1,3,2020-02-01
Shandong,Mainland China,206,0,3,2020-02-01
Jiangsu,Mainland China,202,0,6,2020-02-01
Shanghai,Mainland China,169,1,10,2020-02-01
Beijing,Mainland China,168,1,9,2020-02-01
Fujian,Mainland China,144,0,0,2020-02-01
Shaanxi,Mainland China,101,0,0,2020-02-01
Guangxi,Mainland China,100,0,2,2020-02-01
Hebei,Mainland China,96,1,0,2020-02-01
Yunnan,Mainland China,93,0,2,2020-02-01
Heilongjiang,Mainland China,80,2,2,2020-02-01
Liaoning,Mainland China,64,0,1,2020-02-01
Hainan,Mainland China,62,1,1,2020-02-01
Shanxi,Mainland China,47,0,1,2020-02-01
Tianjin,Mainland China,41,0,0,2020-02-01
Gansu,Mainland China,40,0,0,2020-02-01
Guizhou,Mainland China,29,0,2,2020-02-01
Ningxia,Mainland China,26,0,0,2020-02-01
Inner Mongolia,Mainland China,23,0,1,2020-02-01
NA,Japan,20,0,1,2020-02-01
NA,Thailand,19,0,5,2020-02-01
Xinjiang,Mainland China,18,0,0,2020-02-01
Jilin,Mainland China,17,0,1,2020-02-01
NA,Singapore,16,0,0,2020-02-01
Hong Kong,Hong Kong,13,0,0,2020-02-01
NA,South Korea,12,0,0,2020-02-01
Taiwan,Taiwan,10,0,0,2020-02-01
Qinghai,Mainland China,9,0,0,2020-02-01
NA,Malaysia,8,0,0,2020-02-01
NA,Germany,8,0,0,2020-02-01
Macau,Macau,7,0,0,2020-02-01
NA,France,6,0,0,2020-02-01
NA,Vietnam,6,0,1,2020-02-01
New South Wales,Australia,4,0,2,2020-02-01
Victoria,Australia,4,0,0,2020-02-01
NA,United Arab Emirates,4,0,0,2020-02-01
Queensland,Australia,3,0,0,2020-02-01
Ontario,Canada,3,0,0,2020-02-01
NA,Italy,2,0,0,2020-02-01
NA,Russia,2,0,0,2020-02-01
NA,UK,2,0,0,2020-02-01
"Chicago, IL",US,2,0,0,2020-02-01
South Australia,Australia,1,0,0,2020-02-01
NA,Cambodia,1,0,0,2020-02-01
British Columbia,Canada,1,0,0,2020-02-01
NA,Finland,1,0,0,2020-02-01
NA,India,1,0,0,2020-02-01
Tibet,Mainland China,1,0,0,2020-02-01
NA,Nepal,1,0,0,2020-02-01
NA,Philippines,1,0,0,2020-02-01
NA,Spain,1,0,0,2020-02-01
NA,Sri Lanka,1,0,0,2020-02-01
NA,Sweden,1,0,0,2020-02-01
"Boston, MA",US,1,0,0,2020-02-01
